"SHIP","CRUISE","DATEUTC","TIMEUTC","STATION","CAST","LONGDEG","LONGMIN","LONGHEM","LATDEG","LATMIN","LATHEM","LONGITUDE","LATITUDE","WATERDEPTH","SAMPLEDEPT","OXMGL","LEG","DATE"
"OREGON II",299,"09JUN2012","23:44:03",8,1,96,26.38,"W",26,18.5,"N",-96.439667,26.308333,74.5,71,5.13955,1,2012-06-09
"OREGON II",299,"10JUN2012","02:15:33",9,1,96,43.34,"W",26,8.93,"N",-96.722333,26.148833,44.8,43,5.31802,1,2012-06-10
"OREGON II",299,"10JUN2012","04:03:30",10,1,96,45.25,"W",26,4.41,"N",-96.754167,26.0735,43.9,42,5.37461,1,2012-06-10
"OREGON II",299,"10JUN2012","05:05:01",11,1,96,53.21,"W",26,5.1,"N",-96.886833,26.085,34.9,34,5.74048,1,2012-06-10
"OREGON II",299,"10JUN2012","07:05:53",12,1,97,0.08,"W",25,59.96,"N",-97.001333,25.999333,26.6,25,5.87892,1,2012-06-10
"OREGON II",299,"10JUN2012","09:01:46",13,1,96,56.31,"W",26,9.01,"N",-96.9385,26.150167,31.6,29,5.57993,1,2012-06-10
"OREGON II",299,"10JUN2012","11:01:30",14,1,96,47.5,"W",26,16.67,"N",-96.791667,26.277833,41.8,39,6.03528,1,2012-06-10
"OREGON II",299,"10JUN2012","12:40:59",15,1,96,44.23,"W",26,24.29,"N",-96.737167,26.404833,43.6,42,5.81624,1,2012-06-10
"OREGON II",299,"10JUN2012","14:33:32",16,1,96,49.53,"W",26,25.5,"N",-96.8255,26.425,39.8,41,5.07915,1,2012-06-10
"OREGON II",299,"10JUN2012","15:52:46",17,1,96,59.99,"W",26,29.93,"N",-96.999833,26.498833,34.4,34,6.35774,1,2012-06-10
"OREGON II",299,"10JUN2012","17:35:44",18,1,96,49.57,"W",26,30.12,"N",-96.826167,26.502,43.1,42,4.26968,1,2012-06-10
"OREGON II",299,"10JUN2012","21:51:11",19,1,96,29.53,"W",26,4.92,"N",-96.492167,26.082,61,61,5.82064,1,2012-06-10
"OREGON II",299,"11JUN2012","01:10:51",20,1,96,30.06,"W",26,29.79,"N",-96.501,26.4965,80.8,80,4.8417,1,2012-06-11
"OREGON II",299,"11JUN2012","02:48:12",21,1,96,38.49,"W",26,33.21,"N",-96.6415,26.5535,66,65,5.05242,1,2012-06-11
"OREGON II",299,"11JUN2012","04:47:13",22,1,96,41.28,"W",26,38.68,"N",-96.688,26.644667,68.4,67,5.42784,1,2012-06-11
"OREGON II",299,"11JUN2012","07:40:05",23,1,96,35.13,"W",26,51.14,"N",-96.5855,26.852333,103.3,103,3.76441,1,2012-06-11
"OREGON II",299,"11JUN2012","09:58:39",24,1,96,36.96,"W",26,45.28,"N",-96.616,26.754667,94.3,94,3.76327,1,2012-06-11
"OREGON II",299,"11JUN2012","11:52:45",25,1,96,40.16,"W",27,0.24,"N",-96.669333,27.004,87.3,86,4.13218,1,2012-06-11
"OREGON II",299,"11JUN2012","13:41:10",26,1,96,49.09,"W",26,55.71,"N",-96.818167,26.9285,63.5,64,5.21196,1,2012-06-11
"OREGON II",299,"11JUN2012","16:16:45",27,1,96,59.93,"W",26,59.81,"N",-96.998833,26.996833,41.3,40,6.60059,1,2012-06-11
"OREGON II",299,"11JUN2012","18:06:52",28,1,97,12.16,"W",26,59.82,"N",-97.202667,26.997,26.8,26,5.76385,1,2012-06-11
"OREGON II",299,"11JUN2012","20:28:06",29,1,97,18.15,"W",26,51.76,"N",-97.3025,26.862667,17.3,17,6.11148,1,2012-06-11
"OREGON II",299,"11JUN2012","23:17:51",30,1,97,15.53,"W",27,18.81,"N",-97.258833,27.3135,17,16,6.25582,1,2012-06-11
"OREGON II",299,"12JUN2012","01:50:13",31,1,96,58.87,"W",27,15.57,"N",-96.981167,27.2595,37.2,37,6.25179,1,2012-06-12
"OREGON II",299,"12JUN2012","04:37:16",32,1,96,41.81,"W",27,9.71,"N",-96.696833,27.161833,75.3,72,4.89669,1,2012-06-12
"OREGON II",299,"12JUN2012","06:39:23",33,1,96,40.32,"W",27,4.92,"N",-96.672,27.082,83.8,81,4.23211,1,2012-06-12
"OREGON II",299,"12JUN2012","09:58:20",34,1,96,59.82,"W",27,28.84,"N",-96.997,27.480667,25,27,5.99937,1,2012-06-12
"OREGON II",299,"12JUN2012","13:00:41",35,1,96,51.24,"W",27,32.65,"N",-96.854,27.544167,34.6,34,6.12146,1,2012-06-12
"OREGON II",299,"12JUN2012","15:55:39",36,1,96,30.1,"W",27,29.93,"N",-96.501667,27.498833,72.3,73,5.46814,1,2012-06-12
"OREGON II",299,"12JUN2012","18:13:31",37,1,96,24.55,"W",27,40.71,"N",-96.409167,27.6785,62,63,5.69627,1,2012-06-12
"OREGON II",299,"12JUN2012","20:05:30",38,1,96,21.93,"W",27,36.52,"N",-96.3655,27.608667,76.2,76,5.20187,1,2012-06-12
"OREGON II",299,"12JUN2012","22:33:58",39,1,96,44.02,"W",27,45.89,"N",-96.733667,27.764833,29.7,29,6.30024,1,2012-06-12
"OREGON II",299,"13JUN2012","00:23:31",40,1,96,40.13,"W",27,42.9,"N",-96.668833,27.715,37.5,36,6.35484,1,2012-06-13
"OREGON II",299,"13JUN2012","02:09:35",41,1,96,43.06,"W",27,58.06,"N",-96.717667,27.967667,19.8,19,5.85556,1,2012-06-13
"OREGON II",299,"13JUN2012","04:00:27",42,1,96,37.87,"W",27,57.04,"N",-96.631167,27.950667,23.8,23,6.13391,1,2012-06-13
"OREGON II",299,"13JUN2012","05:33:51",43,1,96,27.37,"W",27,51.1,"N",-96.456167,27.851667,40.9,40,5.41803,1,2012-06-13
"OREGON II",299,"13JUN2012","08:41:45",44,1,96,7.57,"W",27,41.21,"N",-96.126167,27.686833,92,90,5.16466,1,2012-06-13
"OREGON II",299,"13JUN2012","10:56:13",45,1,95,58.55,"W",27,43.17,"N",-95.975833,27.7195,89.3,88,5.27314,1,2012-06-13
"OREGON II",299,"13JUN2012","14:26:20",46,1,96,9.61,"W",27,55.7,"N",-96.160167,27.928333,49.5,49,5.09494,1,2012-06-13
"OREGON II",299,"13JUN2012","16:45:04",47,1,96,6.74,"W",27,51.85,"N",-96.112333,27.864167,60.4,58,6.05933,1,2012-06-13
"OREGON II",299,"13JUN2012","19:52:49",48,1,96,30.14,"W",27,59.98,"N",-96.502333,27.999667,26.4,25,5.98451,1,2012-06-13
"OREGON II",299,"13JUN2012","21:44:02",49,1,96,28.19,"W",28,9.42,"N",-96.469833,28.157,19.6,20,4.94235,1,2012-06-13
"OREGON II",299,"13JUN2012","23:41:04",50,1,96,24.6,"W",28,13.61,"N",-96.41,28.226833,19.2,18,5.08499,1,2012-06-13
