"x" "y" "vegt" "nbr"
"1" 566380.053 1745560.089 1 -72.2832470184712
"2" 566890.053 1745560.089 2 -231.915129949882
"3" 567400.053 1745560.089 1 -166.501178769257
"4" 567910.053 1745560.089 1 -113.080061248091
"5" 568930.053 1745560.089 1 4.20646371940813
"6" 569440.053 1745560.089 1 91.2705556580008
"7" 569950.053 1745560.089 1 -12.4316031833504
"8" 570460.053 1745560.089 1 23.2554419433649
"9" 570970.053 1745560.089 1 55.428691233576
"10" 571480.053 1745560.089 1 -25.8999921471918
"11" 571990.053 1745560.089 1 18.7045781045426
"12" 572500.053 1745560.089 1 -33.1691093444824
"13" 565870.053 1746070.089 1 -35.2652794231068
"14" 566380.053 1746070.089 2 -133.064502220278
"15" 566890.053 1746070.089 1 -254.499784370613
"16" 567400.053 1746070.089 1 -162.967252132808
"17" 567910.053 1746070.089 1 -35.0440321708543
"18" 568420.053 1746070.089 1 -231.375917459225
"19" 568930.053 1746070.089 1 -273.784386963599
"20" 569440.053 1746070.089 1 -343.152192640475
"21" 569950.053 1746070.089 1 -62.1407347459763
"22" 570460.053 1746070.089 1 310.090915891117
"23" 570970.053 1746070.089 1 145.870741610338
"24" 571480.053 1746070.089 1 -1.74859961937727
"25" 571990.053 1746070.089 1 167.957555540213
"26" 572500.053 1746070.089 1 118.697775363922
"27" 564850.053 1746580.089 1 335.286392211914
"28" 565360.053 1746580.089 2 -90.3705063836485
"29" 565870.053 1746580.089 4 -43.619929869782
"30" 566380.053 1746580.089 2 -114.599534464549
"31" 566890.053 1746580.089 1 -274.801357171946
"32" 567400.053 1746580.089 1 -296.969296261106
"33" 567910.053 1746580.089 1 -58.3188232319648
"34" 568420.053 1746580.089 1 -210.785314459192
"35" 568930.053 1746580.089 1 -248.509673687007
"36" 569440.053 1746580.089 1 -55.5261780231949
"37" 569950.053 1746580.089 1 264.053163720034
"38" 570460.053 1746580.089 1 333.003573454778
"39" 570970.053 1746580.089 1 353.12267031759
"40" 571480.053 1746580.089 1 218.066720917026
"41" 564850.053 1747090.089 1 192.071014581500
"42" 565360.053 1747090.089 1 -145.461319624764
"43" 565870.053 1747090.089 2 -126.356251967826
"44" 566380.053 1747090.089 1 -215.418254274210
"45" 566890.053 1747090.089 1 -266.671326315119
"46" 567400.053 1747090.089 1 -330.012205896085
"47" 567910.053 1747090.089 1 -188.285418967893
"48" 568420.053 1747090.089 1 -109.372520702733
"49" 568930.053 1747090.089 1 -202.840624312634
"50" 569440.053 1747090.089 1 -18.0696586436545
"51" 569950.053 1747090.089 1 141.50832058339
"52" 570460.053 1747090.089 1 183.806456545225
"53" 570970.053 1747090.089 1 364.694558971402
"54" 571480.053 1747090.089 1 314.32476896512
"55" 564850.053 1747600.089 1 12.2249536767158
"56" 565360.053 1747600.089 1 -129.199276252814
"57" 565870.053 1747600.089 1 -239.012455314094
"58" 566380.053 1747600.089 1 -368.149838978861
"59" 566890.053 1747600.089 1 -302.194128000206
"60" 567400.053 1747600.089 1 -205.115696614466
"61" 567910.053 1747600.089 1 -289.07234081678
"62" 568420.053 1747600.089 1 -188.605188854637
"63" 568930.053 1747600.089 1 -167.198813015207
"64" 569440.053 1747600.089 3 -85.412171557887
"65" 569950.053 1747600.089 3 177.364086585053
"66" 570460.053 1747600.089 3 223.674856415248
"67" 570970.053 1747600.089 1 314.815130492799
"68" 571480.053 1747600.089 1 70.9000964295387
"69" 564340.053 1748110.089 1 424.568975275213
"70" 564850.053 1748110.089 2 22.4943424359858
"71" 565360.053 1748110.089 1 -182.433100732352
"72" 565870.053 1748110.089 1 -292.797669732039
"73" 566380.053 1748110.089 1 -147.311287845198
"74" 566890.053 1748110.089 1 -278.01152001162
"75" 567400.053 1748110.089 1 -164.783903515881
"76" 567910.053 1748110.089 1 -317.130305690754
"77" 568420.053 1748110.089 1 -281.758661659537
"78" 568930.053 1748110.089 1 -170.857823857289
"79" 569440.053 1748110.089 1 -194.127589917931
"80" 569950.053 1748110.089 3 63.2713437336054
"81" 570460.053 1748110.089 3 249.42769744053
"82" 570970.053 1748110.089 3 121.038733786976
"83" 571480.053 1748110.089 1 128.828580625430
"84" 564340.053 1748620.089 2 101.312193883609
"85" 564850.053 1748620.089 1 -132.902375179597
"86" 565360.053 1748620.089 1 -195.608292452611
"87" 565870.053 1748620.089 1 -37.4672041956185
"88" 566380.053 1748620.089 1 -323.260882948514
"89" 566890.053 1748620.089 1 -290.215299390184
"90" 567400.053 1748620.089 1 -291.59943616927
"91" 567910.053 1748620.089 3 -288.757168812741
"92" 568420.053 1748620.089 1 -322.948120565981
"93" 568930.053 1748620.089 1 -47.0586255116511
"94" 569440.053 1748620.089 1 -24.6309101268155
"95" 569950.053 1748620.089 1 -127.604767180650
"96" 570460.053 1748620.089 1 170.083362085175
"97" 570970.053 1748620.089 1 277.709365934639
"98" 571480.053 1748620.089 3 303.480925881106
"99" 571990.053 1748620.089 1 172.854129044906
"100" 563320.053 1749130.089 2 85.8826206207275
"101" 563830.053 1749130.089 1 -40.4124046784084
"102" 564340.053 1749130.089 1 -57.4643006638327
"103" 564850.053 1749130.089 1 -189.258353510123
"104" 565360.053 1749130.089 1 -80.7847319224777
"105" 565870.053 1749130.089 1 -231.647258900034
"106" 566380.053 1749130.089 1 -334.810837323282
"107" 566890.053 1749130.089 1 -284.688598213729
"108" 567400.053 1749130.089 1 -281.412736970253
"109" 567910.053 1749130.089 1 -233.76339340458
"110" 568420.053 1749130.089 1 -342.318182456973
"111" 568930.053 1749130.089 1 13.2163664999641
"112" 569440.053 1749130.089 1 -159.179454802028
"113" 569950.053 1749130.089 1 -85.6707166103402
"114" 570460.053 1749130.089 1 207.077023939269
"115" 570970.053 1749130.089 1 121.122909620138
"116" 571480.053 1749130.089 1 278.230283671691
"117" 571990.053 1749130.089 1 368.152221547632
"118" 572500.053 1749130.089 1 136.112824421875
"119" 562810.053 1749640.089 1 131.087838902193
"120" 563320.053 1749640.089 1 -42.9357377289598
"121" 563830.053 1749640.089 1 -112.076795969307
"122" 564340.053 1749640.089 1 117.898806382207
"123" 564850.053 1749640.089 1 -29.6376355601915
"124" 565360.053 1749640.089 1 -102.183466212154
"125" 565870.053 1749640.089 0 -85.8826669146305
"126" 566380.053 1749640.089 1 -96.347160686162
"127" 566890.053 1749640.089 1 -41.1160220142951
"128" 567400.053 1749640.089 1 -193.785828363530
"129" 567910.053 1749640.089 1 -250.813986903661
"130" 568420.053 1749640.089 1 -335.068258608094
"131" 568930.053 1749640.089 1 -63.1915627609758
"132" 569440.053 1749640.089 3 -94.537043905750
"133" 569950.053 1749640.089 3 -94.7532003686985
"134" 570460.053 1749640.089 3 -64.1421256238679
"135" 570970.053 1749640.089 1 54.3544816547499
"136" 571480.053 1749640.089 1 70.9575705103325
"137" 571990.053 1749640.089 1 479.610610981703
"138" 572500.053 1749640.089 1 345.077622526223
"139" 562300.053 1750150.089 0 556.461120605469
"140" 562810.053 1750150.089 1 -132.177283551462
"141" 563320.053 1750150.089 1 -145.739075392594
"142" 563830.053 1750150.089 1 24.9976815822552
"143" 564340.053 1750150.089 1 244.806764910576
"144" 564850.053 1750150.089 1 -98.6549691708514
"145" 565360.053 1750150.089 1 -346.019194205331
"146" 565870.053 1750150.089 1 -288.982020171873
"147" 566380.053 1750150.089 1 -273.243667821989
"148" 566890.053 1750150.089 1 -109.202683427348
"149" 567400.053 1750150.089 1 -121.364097260692
"150" 567910.053 1750150.089 1 -126.094957975374
"151" 568420.053 1750150.089 1 -143.116226499887
"152" 568930.053 1750150.089 1 -145.058334974250
"153" 569440.053 1750150.089 1 -42.2962010903
"154" 569950.053 1750150.089 1 -241.739605801334
"155" 570460.053 1750150.089 1 -285.333232958842
"156" 570970.053 1750150.089 1 13.4182869754781
"157" 571480.053 1750150.089 1 87.5314618089133
"158" 571990.053 1750150.089 1 177.182420524957
"159" 572500.053 1750150.089 1 397.066483062612
"160" 562300.053 1750660.089 1 56.10415048235
"161" 562810.053 1750660.089 1 -214.806164097214
"162" 563320.053 1750660.089 1 -249.629627431558
"163" 563830.053 1750660.089 1 66.1923375726185
"164" 564340.053 1750660.089 1 -178.710379288689
"165" 564850.053 1750660.089 1 -81.6480925644212
"166" 565360.053 1750660.089 1 -112.755627180886
"167" 565870.053 1750660.089 1 -259.92210468042
"168" 566380.053 1750660.089 1 -208.423692143789
"169" 566890.053 1750660.089 3 -269.302431546699
"170" 567400.053 1750660.089 1 -227.896447013824
"171" 567910.053 1750660.089 1 -254.16353209704
"172" 568420.053 1750660.089 1 -211.851508189038
"173" 568930.053 1750660.089 1 -153.147625603483
"174" 569440.053 1750660.089 1 -108.491717155423
"175" 569950.053 1750660.089 1 -192.538436426429
"176" 570460.053 1750660.089 1 -228.342029994753
"177" 570970.053 1750660.089 1 28.4930354501062
"178" 571480.053 1750660.089 1 67.5395243196779
"179" 571990.053 1750660.089 1 372.817345386531
"180" 572500.053 1750660.089 1 357.527649067698
"181" 561790.053 1751170.089 2 -48.5884390501692
"182" 562300.053 1751170.089 1 -31.0705030770939
"183" 562810.053 1751170.089 1 294.931735170745
"184" 563320.053 1751170.089 1 -64.564795837277
"185" 563830.053 1751170.089 1 49.4905625532178
