"Dataset","Site","Date","Al","Alk","Br","Ca","CL","DIN","DO","DOC","Fe","K","Mg","Mn","Mn_diss","N_tot_Kj","Na","NO3","ORP","P_tot","pH","PO4_o","SC","SO4","SSC","TDP","Temp","TOC","Turb","Zn_diss"
"WQ","CON",2005-04-19,0.887,260,0.1,129,144,0.21,8.74,2.6,0.847,4.13,22.6,0.039,0.0062,0.34,73.2,0.95,356,0.16,8.04,0.38,1.11,112,31,0.12,14.2,4.2,13.9,0
"WQ","CON",2005-05-26,1.33,270,0.1,127,124,0.54,8.3,17,1.21,3.9,22.2,0.0582,0.0025,0.55,66.6,2.24,306,0.22,7.99,0.56,1.07,100,29.3,0.17,13.3,20,19.6,0
"WQ","CON",2005-06-21,1.04,240,0.11,111,120,0.19,7.35,3.5,0.914,4.25,18.4,0.0422,0.0045,0.37,61.4,1.42,342,0.27,7.05,0.69,0.96,80.4,39.8,0.2,16.99,3.7,13.5,0
"WQ","CON",2005-07-26,0.414,220,0.12,90,105,0.17,4.68,10,0.473,4.81,15.4,0.0418,0.0339,0.57,59.3,0.9,221,0.2,7.05,0.7,0.87,58,14.1,0.19,24.6,15,8,0
"WQ","CON",2005-08-16,0.226,230,0.12,94.6,118,0.12,5.22,18,0.236,4.67,16.5,0.0923,0.19,0.4,67.8,0.45,212,0.19,7.42,0.62,0.97,62.4,6.4,0.17,21.92,18,19.4,0
"WQ","CON",2005-09-22,0.697,200,0.07,80.4,120,0.15,7.31,10,0.625,4.45,13.4,0.0387,0.0189,0.34,68.1,0.46,245,0.24,7.71,0.74,0.89,56.3,14.8,0.23,18.93,14,13.3,12.6
"WQ","CON",2005-10-31,0.208,220,0.07,95.4,112,0.2,9.5,12,0.133,4.57,16.1,0.0153,0.0128,0.14,74.7,0.91,256,0.29,7.39,0.73,0.94,65.5,1.67,0.17,7.72,23,5.5,9.33
"WQ","CON",2006-02-09,0.073,250,0.06,123,120,0.7,15.87,4.5,0.086,2.45,20.5,0.0058,0.0026,0.19,70.4,3.09,267,0.13,8.08,0.32,1.07,86.4,1.67,0.09,0.78,12,3.3,8.41
"WQ","CON",2006-03-20,0.19,250,0.06,112,87.8,0.58,13.3,3.7,0.294,2.66,18.6,0.0165,0.0031,0.32,49.1,2.45,259,0.1,8.05,0.42,0.92,89,7.9,0.08,4.57,4.5,7.2,14.6
"WQ","CON",2006-05-09,0.549,250,0.1,112,111,0.41,7.4,10,0.628,3.08,21.5,0.0422,0.0091,0.38,57,1.75,278,0.25,7.87,0.48,0.97,97.7,22.1,0.18,14.04,17.2,18.7,14
"WQ","CON",2006-06-06,0.824,240,0.08,96.3,98.4,0.44,7.11,4.1,0.633,3.36,16.6,0.0698,0.0107,0.29,51.2,1.77,120,0.27,7.54,0.68,0.9,69,16.2,0.2,15.88,6.9,14,15.4
"WQ","CON",2006-07-10,0.755,250,0.19,100,93.6,0.22,5.63,9.9,0.623,3.9,17.5,0.0971,0.0442,0.32,64.9,1.34,196,0.19,7.36,0.67,0.91,48.6,6.6,0.18,19.1,13.8,11.5,14.5
"WQ","CON",2006-08-08,0.403,220,0.1,83.6,86.1,0.65,4.02,3.2,0.36,4.42,14.6,0.0669,0.0583,0.41,54.3,0.34,190,0.31,7.69,0.68,0.43,40.6,8.4,0.25,22.67,4.4,2.4,14.2
"WQ","CON",2006-09-05,0.585,190,0.15,80.3,99.3,0.23,5.71,10.3,0.453,4.42,13.8,0.0314,0.012,0.29,51.7,0.99,188,0.22,7.59,0.62,0.76,65.2,11.3,0.21,17.46,14.5,10.1,27.8
"WQ","CON",2006-10-16,0.23,220,0.06,89.8,95.5,0.16,7.3,8.7,0.164,4.29,16.1,0.0193,0.0107,0.21,51.8,0.83,466,0.24,7.2,0.57,0.85,63,0,0.22,9.9,10.6,6.6,44.6
"WQ","CON",2006-11-13,0.236,250,0.06,109,76.6,1.07,11.25,14.4,0.223,4.1,18.6,0.0103,0.0022,0.23,44.8,0.81,355,0.23,7.97,0.71,0.87,73.5,2.76,0.21,6.93,16,4.7,54.1
"WQ","CON",2006-12-05,0.131,270,0.05,111,72.5,0.72,15,14.3,0.179,3.19,18.4,0.0084,0.0021,0.36,35.9,3.02,340,0.2,8.02,0.48,0.86,87.1,2.21,0.17,0.38,16.2,16.5,63.7
"WQ","CON",2007-01-10,0.456,250,0.05,106,57,0.81,13.9,17.1,0.398,2.65,16.2,0.0157,0.003,0.36,29.4,3.71,317,0.17,8.2,0.51,0.77,69.6,12.1,0.12,1.96,21.8,12,57.6
"WQ","CON",2007-03-08,0.249,250,0.08,124,230,1.01,14.6,16.8,0.205,3.2,19.3,0.0089,0.0021,0.24,111,4.33,313,0.16,7.95,0.44,1.36,94.6,6.65,0.14,0.24,16.7,0,30.5
"WQ","CON",2007-04-10,0.101,280,0.08,126,152,0.18,14.02,17.5,0.063,2.33,21.7,0.005,0.0017,0.28,68,0.82,184,0.1,7.96,0.24,1.12,105,1.56,0.14,3.57,21.5,1.1,42.3
"WQ","CON",2007-05-09,0.843,280,0.09,135,136,0.48,7.91,18.8,0.606,3.24,24.2,0.0325,0.0066,0.29,70.9,2.07,197,0.19,8.7,0.49,1.15,105,17.62,0.13,15.35,23.8,16.5,42.1
"WQ","CON",2007-06-13,0.337,240,0.11,98.2,161,0.1,4.6,15.4,0.305,3.87,17.8,0.0601,0.0561,0.18,74.6,0.49,220,0.22,7.39,0.59,1.04,60.6,7.78,0.2,17.2,17.9,6.5,16.7
"WQ","CON",2007-07-18,0.398,200,0.08,79.3,138,0.18,-999999,15,0.348,4.18,13.9,0.0285,0.0099,0.43,74.5,0.84,-999999,0.23,-999999,0.63,-999999,40.9,5.86,0.22,-999999,11.4,-999999,11.3
"WQ","CON",2007-08-01,0.244,210,0.12,85.2,137,0.03,4.03,15.1,0.226,4.21,14.8,0.101,0.0807,0.55,74.9,0.24,326,0.22,7.59,0.59,0.94,46,3.15,0.21,20.65,7.7,5.3,14.7
"WQ","CON",2007-09-04,0.219,260,0.21,102,139,0,3.11,15.6,0.338,5.11,18.5,0.78,0.755,0.36,83,0.13,93,0.28,7.15,0.62,1.09,67.3,5.04,0.23,18.4,15.8,6.3,32.6
"WQ","CON",2007-11-05,0.173,210,0.078,112,147,0.63,7.75,10.5,0.147,5.12,18.4,0.0128,0.0088,0,79.5,2.44,-204,0.15,7.48,0.63,1.14,128,1.56,0.11,9.29,9,2.8,43.3
"WQ","CON",2008-02-11,0.24,220,0.056,112,159,1.95,13.84,4.2,0.189,2.71,17.1,0.0074,0.0014,0.18,83.8,8.09,171,0.16,8.72,0.44,0.96,79.2,4.68,0.14,-0.24,3.8,4.4,25.3
"WQ","CON",2008-03-25,0.264,200,0.034,86.4,94,0.82,14.15,3,0.281,2.12,13.5,0.0095,0.0014,0.25,52.7,3.44,-176,0.19,7.6,0.32,0.79,59.2,6.29,0.14,2.9,3.6,5.6,12.8
"WQ","CON",2008-04-16,0.113,240,0.047,108,110,0.11,12.56,3.4,0.064,2.28,18.4,0.0038,0.002,0.16,57.2,0.36,-129,0.09,7.78,0.2,0.95,81.6,-0.39,0.09,6.68,2.8,1.2,7.7
"WQ","CON",2008-06-09,0.665,240,0.059,106,82,0.59,6.91,3.6,0.946,5.01,17,0.0394,0.0034,0.41,55.7,2.61,-69,0.31,7.89,0.54,0.79,73.5,37.86,0.28,21.53,3.7,19.6,6.9
"WQ","CON",2008-07-30,0.543,210,0.073,74.3,90.9,0.15,6.63,-999999,0.61,4.11,12.1,0.0386,0.0143,0.28,57.8,0.78,181,0.26,7.26,0.62,0.8,43.8,6.66,0.22,20.47,-999999,9.4,10.5
"WQ","CON",2008-08-12,0.447,180,0.056,72.9,89.4,0.16,6.75,3.4,0.434,3.89,12,0.0336,0.0212,0.22,56.9,0.8,322,0.25,7.77,0.63,0.74,44.3,8.16,0.21,19.18,3.7,9.3,0
"WQ","CON",2008-09-17,0.55,200,-999999,77.7,-999999,0.22,6.97,3.3,0.75,4.34,13.4,0.0695,0.0405,0.35,69.8,-999999,-11,0.32,7.71,-999999,0.82,-999999,60.94,0.26,17.84,3.8,13.3,24
"WQ","CON",2008-10-15,0.285,190,0.087,81.7,138,0.05,4.49,3.6,0.363,4.94,14.5,0.15,0.113,0.14,81.5,0.25,374,0.29,6.48,0.72,0.95,69.9,20.11,0.29,15.9,3.7,8.4,6.8
"WQ","CON",2008-12-09,0.091,160,0.087,90.3,218,1.2,13.07,4,0.094,4.77,17.9,0.0068,0.0033,0.54,105,4.99,281,0.21,7.7,0.51,1.2,81,3.3,0.2,1.31,4.3,2.3,11.5
"WQ","CON",2009-01-26,0.056,190,0.11,97.7,265,0.88,15.42,3,0.068,3.91,20,0.0043,0.0017,0.21,143,4.2,-32,0.24,7.57,0.39,0.7,98.2,3.22,0.14,-0.08,3.2,-1.1,17.2
"WQ","CON",2009-02-24,0.101,190,0.1,107,404,-999999,14.76,3.2,0.118,3.79,19.5,0.0063,0.0011,0,218,3.06,195,0.12,-999999,0.31,1.83,91.7,1.96,0.3,-0.16,2.9,-0.1,19.7
"WQ","CON",2009-03-17,0.073,230,0.083,89.3,217,0.09,13.32,3.4,0.103,3.59,16.9,0.0056,0.0012,-999999,120,0.44,269,-999999,9.88,0.31,1.25,92.4,2.03,-999999,12.18,3.3,1.9,18.6
"WQ","CON",2009-04-27,0.635,230,0.061,92.8,130,0.45,10.29,3.7,0.656,3.01,16.6,18.9,0.004,0.59,64.2,1.97,309,0.17,8.1,0.46,0.89,80.7,13.87,0.15,17.74,3.4,10.1,18.4
"WQ","CON",2009-05-21,0.459,240,0.073,115,121,0.54,8.53,3,0.462,3.61,19.2,0.0232,0.0031,0.53,76.7,2.71,128,0.22,7.19,0.55,0.53,77.4,17.04,0.16,16.89,3.6,10.8,0
"WQ","CON",2009-06-09,0.553,230,0.092,94.6,124,0.46,5.36,5.3,0.544,4.16,17.3,0.0252,0.0039,0.56,79.9,1.62,155,0.24,7.95,0.66,1,63.1,16.31,0.19,19.14,5.2,9.2,19
"WQ","CON",2009-07-16,0.411,220,0,85,112,0.09,5.01,3.1,0.336,3.96,15.6,0.0301,0.014,0.41,61.9,0.43,182,0.25,7.71,0.46,0.91,54.4,10.65,0.21,19.67,3.4,5.3,19.5
"WQ","CON",2009-09-14,0.199,210,0,91,114,0.19,6.5,3.5,0.302,4.53,15.6,0.0259,0.0068,0.7,75.3,0.74,168,0.25,7.82,0.5,0.95,62.4,13.49,0.33,16.74,3.7,12.4,7.1
"WQ","CON",2009-10-06,0.37,220,0,91.2,93.7,0.22,8.19,4,0.546,4.34,15.6,0.0319,0.0036,0.62,67,0.96,50,0.25,9.05,0,0.89,62,21.05,0.21,12,4.3,12.9,0.01
"WQ","CON",2009-12-07,0.118,270,0,119,113,0.26,14.63,3.8,0.086,3.7,22,0.005,0.0014,-999999,58.1,0.95,82,0.15,8.22,0.39,1.14,82.2,-4.84,0.16,1.79,3.7,1.1,24.6
"WQ","CON",2010-02-01,0.109,270,0,127,198,0.74,15.7,2.6,0.08,2.9,21.8,0.0055,0.0022,0.57,97.3,3.09,68,0.08,8.16,0,1.51,96.1,0,0.07,0.14,2.5,0.1,33.7
"WQ","CON",2010-03-17,0.21,260,0,106,143,0.41,14.54,3.8,0.18,2.86,17.7,0.0135,0.0056,0.81,83.4,1.59,81,0.11,8.14,0,1.08,76.5,8.47,0.09,8.67,3.6,6.1,36.3
"WQ","CON",2010-04-01,0.143,290,0,114,127,0.14,11.99,3.3,0.115,2.53,20.3,0.0111,0.0048,0.66,69.5,0.6,21,0.14,8.12,0,1.03,82.5,12.54,0.09,9.48,3.1,4.1,33.5
"WQ","CON",2010-05-25,-999999,260,0,-999999,119,0.47,7.74,3.7,-999999,-999999,-999999,-999999,-999999,0.73,-999999,1.88,155,0.26,7.87,0.5,1.05,77.2,24.64,0.15,18.12,3.8,22.9,-999999
"WQ","CON",2010-07-06,0.39,260,-999999,103,-999999,0.32,6.08,63,0.32,4.5,17.3,0.0172,0.0042,0.63,60.3,-999999,278,0.28,7.73,-999999,1.04,-999999,10.51,0.2,21.14,63,7.9,0
"WQ","CON",2010-08-04,0.08,260,-999999,95.5,-999999,-999999,3.86,3.8,0.069,4.53,15.9,0.143,0.142,-999999,67.9,-999999,164,-999999,7.65,-999999,1.01,-999999,1.97,-999999,24.29,3.7,-3.4,0
"WQ","DRI",2005-04-19,0.835,290,0.11,126,53.9,0.41,10.02,7.7,0.859,4.65,22.4,0.0518,0.0088,0.77,33.4,1.9,302,0.15,8.07,0.42,0.85,41.9,16,0.12,13.69,13.3,14.9,0
"WQ","DRI",2005-05-26,0.421,300,0.11,125,82.7,0.87,6.62,18,0.488,5.24,22,0.0378,0.0154,1.85,49.5,3.99,272,1.01,7.84,2.76,0.77,93.7,6.1,1.04,13.24,22,15.2,0
